capitulés			capitulé	VER	VER	m	p		0.05	0.05	0.05																									
capotées			capoté	VER	VER	f	p		0.05	0.05	0.05																									
capée			capé	VER	VER	f	s		0.05	0.05	0.05																									
capées			capé	VER	VER	f	p		0.05	0.05	0.05																									
capés			capé	VER	VER	m	p		0.05	0.05	0.05																									
caquetée			caqueté	VER	VER	f	s		0.05	0.05	0.05																									
caquetées			caqueté	VER	VER	f	p		0.05	0.05	0.05																									
caquetés			caqueté	VER	VER	m	p		0.05	0.05	0.05																									
caracolée			caracolé	VER	VER	f	s		0.05	0.05	0.05																									
caracolées			caracolé	VER	VER	f	p		0.05	0.05	0.05																									
caracolés			caracolé	VER	VER	m	p		0.05	0.05	0.05																									
carambolée			carambolé	VER	VER	f	s		0.05	0.05	0.05																									
carambolées			carambolé	VER	VER	f	p		0.05	0.05	0.05																									
